Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
1;2024-11-03;22:51;addington;R1;1;JINGLES DO WELL;92
2;2024-11-03;22:51;addington;R1;2;GOLDSTAR RODNEY;93
3;2024-11-03;22:51;addington;R1;3;FERRARI JEWEL;95
4;2024-11-03;22:51;addington;R1;4;HOMEBUSH CHIP;76
5;2024-11-03;22:51;addington;R1;5;LUCY THERESE;80
6;2024-11-03;22:51;addington;R1;6;OPAWA MUDGEE;84
7;2024-11-03;22:51;addington;R1;7;HOMEBUSH RUBY;83
8;2024-11-03;22:51;addington;R1;8;RUNNING ON EMPTY;100
9;2024-11-03;22:51;addington;R1;9;GOLDSTAR EVERLY;
10;2024-11-03;22:51;addington;R1;10;HOMEBUSH PENNY;
11;2024-11-03;23:07;addington;R2;1;GOLDSTAR JULES;74
12;2024-11-03;23:07;addington;R2;2;GO DREAM;100
13;2024-11-03;23:07;addington;R2;3;OLIVE TREE;96
14;2024-11-03;23:07;addington;R2;4;HOMEBUSH PEARL;83
15;2024-11-03;23:07;addington;R2;5;HOMEBUSH GREEDY;79
16;2024-11-03;23:07;addington;R2;6;GO SWEDE;86
17;2024-11-03;23:07;addington;R2;7;LITTLE BEAN;99
18;2024-11-03;23:07;addington;R2;8;PLAYFUL ADOBE;89
19;2024-11-03;23:07;addington;R2;9;GOLDSTAR EVERLY;
20;2024-11-03;23:07;addington;R2;10;HOMEBUSH PENNY;
21;2024-11-03;23:25;addington;R3;1;HOMEBUSH HEAVEN;87
22;2024-11-03;23:25;addington;R3;2;NORRISA JEWEL;100
23;2024-11-03;23:25;addington;R3;3;GO FERN;91
24;2024-11-03;23:25;addington;R3;4;GOLDSTAR GRACE;91
25;2024-11-03;23:25;addington;R3;5;HOMEBUSH HENRY;95
26;2024-11-03;23:25;addington;R3;6;HOMEBUSH LUCIANA;91
27;2024-11-03;23:25;addington;R3;7;DIAMOND NICKI;93
28;2024-11-03;23:25;addington;R3;8;SHE'S GORGEOUS;93
29;2024-11-03;23:25;addington;R3;9;GOLDSTAR EVERLY;
30;2024-11-03;23:25;addington;R3;10;PUKEKO GARRY;
31;2024-11-03;23:41;addington;R4;1;GOLDSTAR HERB;93
32;2024-11-03;23:41;addington;R4;2;HOMEBUSH JACK;90
33;2024-11-03;23:41;addington;R4;3;WENDA BALE;98
34;2024-11-03;23:41;addington;R4;4;EVENING OUT;91
35;2024-11-03;23:41;addington;R4;5;GO LARRY;92
36;2024-11-03;23:41;addington;R4;6;HOMEBUSH MILO;92
37;2024-11-03;23:41;addington;R4;7;ONE STOCKING;94
38;2024-11-03;23:41;addington;R4;8;OPAWA ZIGGY;100
39;2024-11-03;23:41;addington;R4;9;GOLDSTAR EVERLY;
40;2024-11-03;23:41;addington;R4;10;PUKEKO GARRY;
41;2024-11-03;00:06;addington;R5;1;EAGLE EYE;72
42;2024-11-03;00:06;addington;R5;2;NO CONTROL;95
43;2024-11-03;00:06;addington;R5;3;MASTER GRYLLS;73
44;2024-11-03;00:06;addington;R5;4;GO MILTON;81
45;2024-11-03;00:06;addington;R5;5;GO COHEN;82
46;2024-11-03;00:06;addington;R5;6;GO CONCORD;80
47;2024-11-03;00:06;addington;R5;7;COOL FRIENDS;100
48;2024-11-03;00:06;addington;R5;8;GOTCHA LIES;84
49;2024-11-03;00:06;addington;R5;9;GO COOPER;
50;2024-11-03;00:24;addington;R6;1;ONE MORE ROADIE;95
51;2024-11-03;00:24;addington;R6;2;AGENT SUPER;85
52;2024-11-03;00:24;addington;R6;3;XISCO BALE;100
53;2024-11-03;00:24;addington;R6;4;GOLDSTAR RITA;95
54;2024-11-03;00:24;addington;R6;5;GOLDSTAR ANNIE;96
55;2024-11-03;00:24;addington;R6;6;BY MISTAKE;69
56;2024-11-03;00:24;addington;R6;7;ADOBE EGO;77
57;2024-11-03;00:24;addington;R6;8;KNOW EXPENSE;81
58;2024-11-03;00:24;addington;R6;9;TOBY MCGILL;
59;2024-11-03;00:24;addington;R6;10;NIGHTHAWK JET;
60;2024-11-03;00:43;addington;R7;1;HOMEBUSH CHARLIE;86
61;2024-11-03;00:43;addington;R7;2;HOMEBUSH STELLA;94
62;2024-11-03;00:43;addington;R7;3;HOMEBUSH NEPO;92
63;2024-11-03;00:43;addington;R7;4;DIAMOND CHLOE;94
64;2024-11-03;00:43;addington;R7;5;GOLDSTAR MACKAY;91
65;2024-11-03;00:43;addington;R7;6;REPLICA RULER;79
66;2024-11-03;00:43;addington;R7;7;ADOBE DAZZLER;85
67;2024-11-03;00:43;addington;R7;8;BOLT;100
68;2024-11-03;00:43;addington;R7;9;OPAWA CHESTER;
69;2024-11-03;00:43;addington;R7;10;HOMEBUSH ALEC;
70;2024-11-03;00:59;addington;R8;1;MITCHAM ARLICA;99
71;2024-11-03;00:59;addington;R8;2;HOMEBUSH NELLY;87
72;2024-11-03;00:59;addington;R8;3;EPIC CHARM;93
73;2024-11-03;00:59;addington;R8;4;GRASS TRIMMER;87
74;2024-11-03;00:59;addington;R8;5;HOMEBUSH SYDNEY;88
75;2024-11-03;00:59;addington;R8;6;WILL WATCH;100
76;2024-11-03;00:59;addington;R8;7;GO FLYER;77
77;2024-11-03;00:59;addington;R8;8;EIGHT BELLS;87
78;2024-11-03;00:59;addington;R8;9;OPAWA CHESTER;
79;2024-11-03;00:59;addington;R8;10;HOMEBUSH ALEC;
80;2024-11-03;01:23;addington;R9;1;VALDERRAMA;100
